name,rank,hp,str,mg,spd,dex,def,res,lck,cha,master_skill,class_skill_1,class_skill_2,class_skill_3,require
평민,1,0,0,0,0,0,0,0,0,0,전투의 기본 : 명중 회피 +3,,,,-
귀족,1,0,0,0,0,0,0,0,0,0,전투의 기본 : 명중 회피 +3,,,,-
투사,2,10,10,0,0,0,0,0,0,0,공격의 기본 : 힘 +1,,,,"검,도끼,격투 D (선택)"
사냥병,2,10,0,0,10,10,0,0,0,0,수렵의 기본 : 기술 속도 +1,,,,"검,활 D (선택)"
병사,2,10,5,0,-5,5,10,0,0,0,방위의 기본 : 수비 +1,,,,"창,도끼 D (선택)"
타조병,2,10,0,0,10,5,0,5,5,0,공세의 기본 : 힘 마력 +1,,,,"기마 E+,창,도끼 D (선택)"
주술사,2,5,-5,15,0,5,-5,10,0,0,마도의 기본 : 마력 마방 +1,,,,"흑마법,백마법 D (선택)"
검사,3,10,0,0,15,10,0,0,5,5,뛰어난 기술 : 필살의 일격 발동 시 주는 대미지 +6,전투 기술 장비 +1 : 장비 가능한 전투 기술 개수 +1,검 필살 +3 : 검 장비 시 필살 +3,,검 C
브리건드,3,15,15,-5,5,0,5,0,0,5,재정비 : 적이 공격을 회피하면 해당 전투 중 자신의 회피 +20,전투 기술 장비 +1 : 장비 가능한 전투 기술 개수 +1,도끼 명중 +3 : 도끼 장비 시 명중 +3,,"검,도끼 C (선택)"
세스타스,3,15,10,-5,10,5,10,0,0,5,히트&어웨이 : 전투 기술로 공격 시 해당 전투 중 회피 +10,전투 기술 장비 +1 : 장비 가능한 전투 기술 개수 +1,격투 회피 +3 : 건틀릿 장비 시 회피 +3,,격투 C
아처,3,10,0,0,10,15,5,0,5,5,호조 : 적 처치 시 명중 +3 (최대 30까지 증가) (맵이 끝날 때까지),전투 기술 장비 +1 : 장비 가능한 전투 기술 개수 +1,활 명중 +5 : 활 장비 시 명중 +5,,활 C
로그,3,10,0,0,15,10,0,5,5,0,그림자 숨기 : 적 처치 시 회피 +10 (1회 전투 후 초기화),전투 기술 장비 +1 : 장비 가능한 전투 기술 개수 +1,자물쇠 열기 : 열쇠가 없어도 보물 상자를 열 수 있다,탐색술 : 부대에 있을 때 탐색을 하면 PERFECT가 될 확률이 약간 높아진다,"검,활 C (선택)"
중갑 보병,3,10,10,-5,-5,5,25,-5,0,5,대반격 : 후공일 경우 해당 전투 중 공격력 +3,전투 기술 장비 +1 : 장비 가능한 전투 기술 개수 +1,후공 수비 +3 : 후공일 경우 해당 전투 중 물방 +3,,"중갑 E+,창,도끼 C (선택)"
경기병,3,10,5,-5,5,5,5,0,5,10,체력의 강화 : HP +3,"타기 내리기 : [타기],[내리기]를 사용할 수 있다",,,"기마 D,검,창 C (선택)"
전차병,3,10,5,-5,-5,15,10,0,5,10,돌격 태세 : [돌진] 사용 시 물방 +10 (다음 자신의 페이즈 전까지),"전차의 장갑 : [기병] 방어력 +5,회피가 불가능해진다","전차병의 전술 : [타기],[내리기]를 사용 가능,[기병] [돌진] 사용 가능",전차병의 길 : 자신의 레벨이 높아질수록 성장률도 높아진다,"기마 D,활 C"
