name,hp,str,mg,spd,dex,def,res,lck,cha,p_skill
카이,45,45,40,45,45,35,35,40,40,활발 : 이동력 +1
디트리히,50,45,30,50,60,40,30,50,60,살의 : 선공일 경우 해당 전투 중 필살 +5
세오도라,70,50,30,40,40,40,30,30,50,불굴의 각오 : 공격받을 때 30%로 발동. 받는 대미지가 반감된다
레다,40,35,35,65,50,30,35,25,55,야습 : 선공할 경우 5%로 발동. 반격을 받지 않는다
티아라,30,25,45,35,40,20,40,50,45,참모의 재능 : 아군에게 쓸 수 있는 전투 기술의 사정 +1
피터르,40,35,20,45,60,30,25,35,30,조준 사격 : 활의 전투 기술 사용 시 사정 +1
울턴드,45,40,40,35,40,35,45,55,50,응급 처치 : 인접한 아군의 전투가 끝나면 해당 아군의 HP를 소량 회복한다
파비오,40,25,50,35,40,30,45,35,30,암흑 부름 : 인접한 적의 필살 회피 -5
에스메랄다,55,55,20,35,35,45,25,35,30,괴력 : 자신이 장비하고 있는 무기와 장비품들의 무게가 80%로 줄어든다
미카엘라,50,45,30,40,35,40,25,30,40,역전의 강자 : 인접한 적의 전투 시 명중 +10
보나파르트,35,35,45,40,50,30,40,35,40,훈수 : 인접한 아군의 기술 +3
토비아스,55,60,15,25,30,45,20,40,35,큰 기술 : 전투 기술로 공격 시 공격력 +3
릴리안,35,35,30,40,55,30,35,50,25,안전책 : 전투 시 적이 반격할 수 없다면 명중 +10
라이선더,45,40,25,50,35,40,25,30,30,질주 공격 : 선공일 경우 해당 전투 중 회피 +15
버커니어,50,50,20,25,40,45,20,30,35,수호 기사의 의무 : 공격받을 때 받는 대미지가 90%로 줄어든다
시로코,40,40,40,45,50,35,35,50,45,여신의 은총 : 전투 후 자신의 HP를 5 회복한다
올림피아,35,35,50,35,35,30,40,40,40,호승심 : 마법 장비 시 필살 +10
무우,50,50,25,50,50,40,30,30,40,"성장의 징조 : 레벨 업을 했을 때 기본 능력이 성장할 확률이 높다 (+20%p,적용된 상태)"
게이츠,50,50,20,45,40,45,20,30,50,조력 : 인접한 아군의 수비 +3
제스터,40,35,15,60,45,35,25,40,40,찰나의 교체 : [바꾸기] 사용 후 수비 +3 (다음 자신의 페이즈 전까지)
골라이어스,55,60,5,30,15,50,20,35,20,중량급 전사 : 기병 및 비병 병과 선택 불가. 체격 +5
단테,30,30,45,40,40,20,40,45,30,전장의 극작 : 주위 2칸 내에 있는 아군 전투 시 해당 아군의 (매력÷2)%로 발동. 해당 아군의 필살 회피 +10
디에고,45,40,20,60,45,35,20,35,30,-
로레타,35,35,35,40,55,30,40,30,30,마음의 여유 : 전투 시 자신의 HP가 절반 이상이면 회피 +10
세테스,45,45,30,40,45,40,35,30,50,임전 태세 : 적 페이즈일 때 첫 번째 전투에서 50%의 확률로 자신이 선공이 된다
리네,45,45,35,35,45,35,45,50,40,정령의 목소리 : 전투 시 적이 마법을 장비 중이면 명중 회피 +10
우술라,40,35,35,50,50,35,30,40,45,상회의 지배인 : 자신을 포함해 주변 2칸 내에 있는 아군이 도구 주머니를 사용할 수 있다
루루디아,40,35,20,45,55,30,20,30,30,매 : 선공일 걍우 해당 전투 중 공속 +3
시몬,50,50,20,40,35,40,25,50,35,구사일생 : 자신의 HP가 2 이상이고 HP가 0이 되는 대미지를 받았을 때 행운%의 확률로 HP가 1 남는다
피아나,30,35,55,40,30,20,45,25,40,광휘 : 마법으로 아군을 회복할 때 행운%로 발동. 마법 횟수가 줄어들지 않는다
사란,35,30,45,50,35,30,45,35,40,-
나타,45,55,25,50,45,35,25,30,25,선수 필승 : 선공일 경우 50%로 발동. 해당 전투 중 공격력 +3
대도,50,55,20,30,35,45,20,25,30,한 방 승부 : 전투 시 자신도 적도 추격할 수 없다면 자신의 공격력 +5
하르빈,35,35,30,60,45,30,25,40,35,순응 : 전투 후 명중 +2 (최대 30까지 증가) (맵이 끝날 때까지)
그자람,45,45,20,50,45,35,20,45,30,기분파 : 전투 시 명중 회피 필살 중 하나가 +10
이오,45,40,25,35,45,40,25,35,35,"애마와의 연계 : [기병] 선공일 경우 해당 전투 중 방어력 +3,필살 회피 30"
카타냐,35,35,35,55,50,30,35,40,45,질풍 : 전투 시 자신의 공속이 적보다 3 이상 높으면 명중 +20
