name,might,weight,hit,avoid,crit,range,uses,desc,kind
파이어,3,5,90,0,0,1-2,10,화염구로 공격하는 초급 마법,fire
볼케논,10,8,85,0,0,1-2,5,주변을 불태우는 상급 마법,fire
블리자드,4,6,80,0,5,1-2,7,대상을 얼리는 초급 마법,ice
아이스 블레이드,12,10,75,0,5,1-2,6,얼음 칼날을 쏘아 내는 상급 마법,ice
윈드,3,3,100,0,0,1-2,10,진공 칼날을 날리는 초급 마법. 비행 유효,wind
셰이버,7,8,95,9,5,1-2,8,바람 칼날로 공격하는 상급 마법. 비행 유효,wind
선더,5,7,75,0,0,1-2,8,번개를 떨어트리는 초급 마법,thunder
슬라임Β,3,15,70,0,0,1-3,5,유사 생명체의 소화액으로 공격한다,dark
데스Γ,15,13,75,0,20,1-2,5,인공 사신이 대상을 죽음으로 이끈다. 필살이 높다,dark
도라Δ,5,5,80,0,0,1-2,10,응축된 암흑 물질로 적을 공격한다,dark
웜Ζ,4,21,65,0,0,1-2,2,무수한 미세 기계로 포위 공격 한다. 명중 시 적의 속도 -3 (다음 자신의 페이즈 전까지),dark
루나Λ,1,20,50,0,0,1-2,3,대상을 내부로부터 파괴하는 공격. 적의 마방을 무시한다,dark
리자이어,1,8,80,0,0,1-2,8,대상의 생명력을 흡수하는 신성 마법. 준 대미지의 절반만큼 HP를 회복한다,light
라이브,10,-,-,0,-,1,10,상처를 약간 낫게 하는 신성 마법. 아군의 HP를 회복한다,faith
리커버,30,-,-,0,-,1,5,상처를 많이 낫게 하는 신성 마법. 아군의 HP를 크게 회복한다,faith
리브로,8,-,-,0,-,1-10,5,먼 곳의 아군을 치유하는 신성 마법. 떨어져 있는 아군의 HP를 회복한다,faith
레스트,-,-,-,0,-,1-3,10,몸 상태를 되돌리는 신성 마법. 아군의 상태 이상을 해제한다,faith
라이아,3,-,-,0,-,1,15,상처를 약간 낫게 하는 신성 마법. 아군의 HP를 조금 회복한다. 드물게 회복량 +100,faith
토치,-,-,-,0,-,-,5,빛으로 어둠을 내쫓는 신성 마법. 시야 +3 (다음 자신의 페이즈 전까지),faith
