name,might,weight,hit,avoid,crit,range,uses,rank,desc,kind
목제 검,2,2,90,0,0,1,10,E,가볍고 다루기 쉬운 목제 검,sword
목제 검+1,3,2,90,0,0,1,10,E,가볍고 다루기 쉬운 목제 검,sword
목제 검+2,4,2,90,0,0,1,10,E,가볍고 다루기 쉬운 목제 검,sword
목제 검+3,5,2,90,0,0,1,10,E,가볍고 다루기 쉬운 목제 검,sword
목제 검+4,6,2,90,0,0,1,10,E,가볍고 다루기 쉬운 목제 검,sword
청동의 검,4,3,90,0,0,1,15,E,청동으로 주조한 일반적인 검,sword
청동의 검+1,6,3,90,0,0,1,15,E,청동으로 주조한 일반적인 검,sword
청동의 검+2,8,3,90,0,0,1,15,E,청동으로 주조한 일반적인 검,sword
철의 검,9,4,90,0,0,1,20,D,철을 단조해 만든 양질의 검,sword
철의 검+1,11,4,90,0,0,1,20,D,철을 단조해 만든 양질의 검,sword
철의 검+2,13,4,90,0,0,1,20,D,철을 단조해 만든 양질의 검,sword
다 미나의 검,12,4,90,0,0,1,25,C,다 미나에서 제조된 고품질 검. 전투 기술로 공격 시 명중 +10,sword
다 미나의 검+1,15,4,90,0,0,1,25,C,다 미나에서 제조된 고품질 검. 전투 기술로 공격 시 명중 +10,sword
독의 검,3,3,90,0,0,1,20,D,칼날에 맹독이 발린 검. 공격 명중 시 적을 독 상태로 만든다,sword
독의 검+1,4,3,90,0,0,1,20,D,칼날에 맹독이 발린 검. 공격 명중 시 적을 독 상태로 만든다,sword
독의 검+2,5,3,90,0,0,1,20,D,칼날에 맹독이 발린 검. 공격 명중 시 적을 독 상태로 만든다,sword
킬 소드,11,6,90,0,0,1,40,C,동방의 기술로 만든 예리한 검. 전투 기술 [필살검] 사용 가능,sword
킬 소드+1,12,6,90,0,0,1,40,C,동방의 기술로 만든 예리한 검. 전투 기술 [필살검] 사용 가능,sword
참마도+1,15,7,80,0,0,1,20,D,기병을 말과 함께 쪼개 버리는 큰 검,sword
플리사,10,4,90,0,0,1,20,C,갑옷의 틈을 꿰뚫는 찌르기용 검 (중장 유효),sword
플리사+1,11,4,90,0,0,1,20,C,갑옷의 틈을 꿰뚫는 찌르기용 검 (중장 유효),sword
선더 소드+1,14,8,70,0,0,1-2,20,C,번개 정령의 힘이 깃든 마법검. 마법 공격에 속한다. 전투 기술 [뇌격] 사용 가능,sword
재계의 검+1,12,3,90,0,0,1,20,E,성스러운 축복으로 청정해진 검. 전투 시 적의 [명부의 가호] 무효화,sword
사검 벨로키네,13,12,60,0,0,1,20,검 B/도끼 C,명계의 어두운 힘이 깃든 마세검. 전투 기술 [절화] 사용 가능 (원주력 2),sword
